video_id,frame_timestamp,x1,y1,x2,y2,action_id,person_id
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,17,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,10,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,12,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,14,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,24,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,6,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,1,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,19,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,17,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,10,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,12,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,14,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,24,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,6,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,1,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,19,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,17,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,10,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,12,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,14,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,24,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,6,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,1,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,19,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,17,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,10,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,12,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,14,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,24,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,6,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,1,1
1_clip_000,221,0.259641,0.000667,0.334734,0.297681,19,1
1_clip_000,221,0.187539,0.353931,0.269539,0.777500,17,2
1_clip_000,221,0.187539,0.353931,0.269539,0.777500,10,2
1_clip_000,221,0.187539,0.353931,0.269539,0.777500,12,2
1_clip_000,221,0.187539,0.353931,0.269539,0.777500,14,2
1_clip_000,221,0.187539,0.353931,0.269539,0.777500,24,2
